Dependent Table,Dependent Column Index,Referenced Table,Referenced Column Index,Classification
072007FordF150BrakePadSetBrakeACDelcoATEAkebonoBendixCentricEBCHawkMonroeMotorcraftNPNPBRWagnerFront.csv,1,NewCadillacXTSForSaleDenverCO.csv,0,Valid
20082009ChevroletChevySilveradoACACHeaterBlowerMotorStandardCabWithManualTempACControlGoParts.csv,3,DifferencebetweenrevisionsofBeagleBoardGSoC2010ProjectsC6RunDocumentationeLinuxorg.csv,3,Valid
20082009ChevroletChevySilveradoACACHeaterBlowerMotorStandardCabWithManualTempACControlGoParts.csv,4,DifferencebetweenrevisionsofBeagleBoardGSoC2010ProjectsC6RunDocumentationeLinuxorg.csv,3,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,TornbyRonnyKoboPolaColorblockPantsSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,HeatherBoxyVNeckShirtSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,MoschinoSleevelessCrepeDressSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,ColorBlockTurtleneckSweaterby525AmericaatGilt.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,ThakoonAdditionCarbonCopyTankDressSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,SilkDrapeDressbyAnagrambyGaryGrahamatGilt.csv,1,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,JERSEYHARDINTSHIRTbyEveratGilt.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,ALCJoniSweaterSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,EnzaCostaBoldUTankSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,31PhillipLimLeatherTrimTShirtSHOPBOP.csv,0,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,AsymmetricalRibbedKnitTopbyNarcisoRodriguezatGilt.csv,1,Valid
FeltedGraphicCrewNeckJumperbyBenShermanPlectrumatGilt.csv,0,BURNOUTBREAKOUTTANKbyBoyMeetsGirlatGilt.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,TornbyRonnyKoboPolaColorblockPantsSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,HeatherBoxyVNeckShirtSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,MoschinoSleevelessCrepeDressSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,ColorBlockTurtleneckSweaterby525AmericaatGilt.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,ThakoonAdditionCarbonCopyTankDressSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,SilkDrapeDressbyAnagrambyGaryGrahamatGilt.csv,1,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,JERSEYHARDINTSHIRTbyEveratGilt.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,ALCJoniSweaterSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,EnzaCostaBoldUTankSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,31PhillipLimLeatherTrimTShirtSHOPBOP.csv,0,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,AsymmetricalRibbedKnitTopbyNarcisoRodriguezatGilt.csv,1,Valid
PerformanceSportTrunksbyBjornBorgatGilt.csv,0,BURNOUTBREAKOUTTANKbyBoyMeetsGirlatGilt.csv,0,Valid
GatorsatNo22in2011APpreseasonpollONLYGATORSGetOutAlive.csv,1,MiamiDolphinsPlayerContractsSalariesTransactionsSpotrac.csv,1,Valid
generalbloodymindednessoftheuniversemgoblog.csv,6,greencat24anythingfunimnothardtoplease.csv,1,Valid
generalbloodymindednessoftheuniversemgoblog.csv,6,greencat24anythingfunimnothardtoplease.csv,4,Valid
generalbloodymindednessoftheuniversemgoblog.csv,6,AllowingUserCustomizationsatRuntime.csv,1,Valid
generalbloodymindednessoftheuniversemgoblog.csv,6,DifferencebetweenrevisionsofWillRPiRuneLinuxorg.csv,1,Valid
generalbloodymindednessoftheuniversemgoblog.csv,6,SC666HistoryofActionsBackground.csv,2,Valid
